,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG/SoT_Expected,PSxG+/-_Expected,/90_Expected,Cmp_Launched,Att_Launched,Cmp%_Launched,Att_Passes,Thr_Passes,Launch%_Passes,AvgLen_Passes,Att_Goal Kicks,Launch%_Goal Kicks,AvgLen_Goal Kicks,Opp_Crosses,Stp_Crosses,Stp%_Crosses,#OPA_Sweeper,#OPA/90_Sweeper,AvgDist_Sweeper
0,Emil Audero,it  ITA,GK,Sampdoria,24,1997,28.4,48,1,1,5,1,43.0,0.32,-4.0,-0.14,220,506,43.5,785,117,45.7,39.8,214,68.7,49.8,270,25,9.3,12,0.42,13.3
1,Nicola Bagnolini,it  ITA,GK,Bologna,17,2004,0.0,0,0,0,0,0,0.1,0.09,+0.1,+2.74,0,4,0.0,3,0,100.0,67.3,1,100.0,60.0,1,0,0.0,0,0.00,
2,Francesco Bardi,it  ITA,GK,Bologna,29,1992,2.0,2,0,0,0,0,3.3,0.36,+1.3,+0.65,9,25,36.0,37,6,51.4,37.5,13,46.2,38.8,14,2,14.3,0,0.00,10.6
3,Vid Belec,si  SVN,GK,Salernitana,31,1990,21.5,49,3,0,6,2,39.3,0.28,-7.7,-0.36,151,354,42.7,400,77,55.5,44.2,179,73.7,52.9,214,10,4.7,8,0.37,12.8
4,Alessandro Berardi,it  ITA,GK,Hellas Verona,30,1991,1.0,3,0,0,0,0,2.7,0.46,-0.3,-0.26,5,20,25.0,23,5,56.5,43.3,7,100.0,58.7,4,0,0.0,0,0.00,12.2
5,Etrit Berisha,al  ALB,GK,Torino,32,1989,10.0,8,2,0,0,0,10.3,0.22,+2.3,+0.23,52,197,26.4,243,38,54.3,43.8,77,84.4,60.5,83,8,9.6,6,0.60,14.5
6,Andrea Consigli,it  ITA,GK,Sassuolo,34,1987,36.9,63,8,0,10,1,61.6,0.34,-0.4,-0.01,259,543,47.7,1214,159,37.0,34.5,252,37.3,31.7,331,20,6.0,23,0.62,13.3
7,Alessio Cragno,it  ITA,GK,Cagliari,27,1994,35.0,63,6,4,10,1,60.8,0.33,-1.2,-0.03,335,765,43.8,899,111,59.5,44.0,315,73.0,50.8,293,22,7.5,19,0.54,14.9
8,Bartłomiej Drągowski,pl  POL,GK,Fiorentina,23,1997,6.2,8,1,0,1,0,8.3,0.28,+0.3,+0.05,53,119,44.5,305,23,33.1,33.9,39,46.2,43.6,31,5,16.1,13,2.10,17.7
9,Wladimiro Falcone,it  ITA,GK,Sampdoria,26,1995,9.5,14,1,0,0,1,15.7,0.28,+2.7,+0.29,65,168,38.7,284,44,40.5,36.7,74,71.6,49.1,108,9,8.3,1,0.11,11.9
10,Vincenzo Fiorillo,it  ITA,GK,Salernitana,31,1990,1.0,5,0,0,1,0,2.6,0.33,-2.4,-2.38,11,19,57.9,20,4,50.0,41.3,11,81.8,53.3,7,1,14.3,0,0.00,10.0
11,Luca Gemello,it  ITA,GK,Torino,21,2000,1.0,0,0,0,0,0,0.8,0.20,+0.8,+0.80,9,28,32.1,31,1,80.6,51.8,3,100.0,60.7,4,0,0.0,0,0.00,12.0
12,Samir Handanović,si  SVN,GK,Inter,37,1984,37.0,30,4,0,3,1,31.6,0.24,+2.6,+0.07,206,382,53.9,1114,167,30.5,30.5,145,29.0,30.1,253,15,5.9,4,0.11,12.2
13,Luca Lezzerini,it  ITA,GK,Venezia,26,1995,5.5,9,0,0,0,0,11.6,0.31,+2.6,+0.47,30,70,42.9,155,39,33.5,32.9,42,42.9,34.9,57,2,3.5,2,0.36,11.4
14,Niki Mäenpää,fi  FIN,GK,Venezia,36,1985,16.5,27,5,0,4,0,29.7,0.34,+2.7,+0.16,81,236,34.3,379,69,45.6,39.6,142,44.4,36.9,168,9,5.4,7,0.42,12.8
15,Mike Maignan,fr  FRA,GK,Milan,26,1995,32.0,21,2,0,4,1,28.0,0.26,+8.0,+0.25,219,450,48.7,1002,154,38.3,36.7,148,44.6,40.7,211,26,12.3,26,0.81,15.3
16,Davide Marfella,it  ITA,GK,Napoli,21,1999,0.1,0,0,0,0,0,0.5,0.45,+0.5,+3.69,0,0,,1,1,0.0,10.0,0,,,0,0,,0,0.00,
17,Alex Meret,it  ITA,GK,Napoli,24,1997,6.9,6,0,0,0,0,6.4,0.22,+0.4,+0.06,21,37,56.8,156,43,19.2,27.2,37,18.9,27.3,57,3,5.3,3,0.44,12.7
18,Vanja Milinković-Savić,rs  SRB,GK,Torino,24,1997,27.0,33,7,2,4,0,27.5,0.29,-5.5,-0.20,224,701,32.0,860,96,63.4,50.9,171,91.2,70.7,150,10,6.7,15,0.56,14.1
19,Lorenzo Montipò,it  ITA,GK,Hellas Verona,25,1996,34.0,50,2,1,7,2,43.3,0.30,-4.7,-0.14,230,640,35.9,748,120,64.3,46.9,232,68.5,49.3,311,16,5.1,13,0.38,13.4
20,Juan Musso,ar  ARG,GK,Atalanta,27,1994,32.6,42,3,0,2,3,35.0,0.28,-4.0,-0.12,173,396,43.7,742,167,33.0,34.1,209,72.2,52.4,214,23,10.7,29,0.89,16.0
21,David Ospina,co  COL,GK,Napoli,32,1988,31.0,25,1,0,3,1,29.2,0.28,+5.2,+0.17,131,289,45.3,854,122,30.2,31.8,142,21.8,25.9,208,17,8.2,19,0.61,14.9
22,Daniele Padelli,it  ITA,GK,Udinese,35,1985,3.0,8,0,0,0,0,7.2,0.32,-0.8,-0.26,13,43,30.2,89,19,36.0,31.0,22,50.0,40.5,38,3,7.9,1,0.33,12.1
23,Ivor Pandur,hr  CRO,GK,Hellas Verona,21,2000,3.0,6,1,1,1,0,5.1,0.29,-0.9,-0.31,14,26,53.8,53,10,37.7,36.8,15,40.0,34.2,9,1,11.1,0,0.00,12.3
24,Rui Patrício,pt  POR,GK,Roma,33,1988,38.0,43,5,1,5,2,39.6,0.24,-1.4,-0.04,204,442,46.2,850,138,42.1,36.7,221,38.0,35.0,245,5,2.0,18,0.47,13.2
25,Gianluca Pegolo,it  ITA,GK,Sassuolo,40,1981,1.0,3,0,0,1,0,1.8,0.36,-1.2,-1.20,6,10,60.0,26,4,30.8,31.0,8,25.0,25.6,12,0,0.0,0,0.00,12.8
26,Mattia Perin,it  ITA,GK,Juventus,28,1992,4.5,7,0,0,1,1,5.8,0.36,-0.2,-0.05,17,42,40.5,111,14,32.4,34.6,26,23.1,28.5,40,2,5.0,0,0.00,9.7
27,Carlo Pinsoglio,it  ITA,GK,Juventus,31,1990,0.5,1,1,0,0,0,1.0,0.06,0.0,+0.02,4,5,80.0,10,0,40.0,33.1,1,100.0,53.0,7,0,0.0,0,0.00,
28,Ivan Provedel,it  ITA,GK,Spezia,27,1994,30.7,52,9,3,5,3,51.7,0.29,+2.7,+0.09,269,697,38.6,956,125,55.5,45.7,230,72.2,53.9,273,21,7.7,21,0.68,14.3
29,Ionuț Radu,ro  ROU,GK,Inter,24,1997,1.0,2,0,0,0,0,1.5,0.52,-0.5,-0.45,4,8,50.0,19,2,36.8,35.4,4,25.0,31.3,4,0,0.0,0,0.00,8.0
30,Boris Radunović,rs  SRB,GK,Cagliari,25,1996,3.0,5,1,1,0,0,5.9,0.31,+0.9,+0.30,26,69,37.7,75,11,61.3,45.1,28,82.1,54.2,29,1,3.4,1,0.33,11.9
31,Nicola Ravaglia,it  ITA,GK,Sampdoria,32,1988,0.1,1,1,0,0,0,0.9,,-0.1,-1.69,2,4,50.0,2,0,100.0,58.0,2,100.0,66.0,0,0,,0,0.00,
32,Pepe Reina,es  ESP,GK,Lazio,38,1982,15.0,29,4,0,2,0,24.2,0.37,-4.8,-0.32,99,182,54.4,426,70,35.0,33.2,99,33.3,32.1,120,6,5.0,10,0.67,13.9
33,Sergio Romero,ar  ARG,GK,Venezia,34,1987,16.0,33,6,0,1,2,31.6,0.28,+0.6,+0.04,119,266,44.7,449,101,44.5,38.1,141,46.8,39.3,159,11,6.9,8,0.50,12.1
34,Francesco Rossi,it  ITA,GK,Atalanta,30,1991,0.4,1,0,0,0,0,1.2,0.59,+0.2,+0.46,2,7,28.6,12,0,41.7,42.0,4,50.0,54.0,3,0,0.0,0,0.00,14.0
35,Giacomo Satalino,it  ITA,GK,Sassuolo,22,1999,0.1,0,0,0,0,0,0.1,0.14,+0.1,+1.55,0,0,,0,0,,,1,0.0,17.0,1,0,0.0,0,0.00,
36,Adrian Šemper,hr  CRO,GK,Genoa,23,1998,1.0,1,0,0,0,0,0.8,0.27,-0.2,-0.20,10,24,41.7,30,3,60.0,42.3,7,85.7,54.6,6,0,0.0,0,0.00,12.1
37,Luigi Sepe,it  ITA,GK,Salernitana,30,1991,15.5,24,3,0,2,0,23.3,0.28,-0.7,-0.05,169,342,49.4,438,43,59.8,46.3,127,63.0,48.2,149,5,3.4,9,0.58,14.0
38,Marco Silvestri,it  ITA,GK,Udinese,30,1991,35.0,50,5,0,6,1,44.6,0.30,-4.4,-0.13,185,485,38.1,696,101,51.4,41.0,250,50.8,41.1,254,13,5.1,5,0.14,11.8
39,Salvatore Sirigu,it  ITA,GK,Genoa,34,1987,37.0,59,4,3,7,2,52.3,0.29,-4.7,-0.13,291,678,42.9,935,101,52.9,40.8,269,68.0,46.9,302,13,4.3,12,0.32,12.5
40,Łukasz Skorupski,pl  POL,GK,Bologna,30,1991,36.0,53,8,1,5,2,52.5,0.28,+1.5,+0.04,240,529,45.4,972,160,45.2,37.9,287,31.4,29.1,354,21,5.9,6,0.17,11.2
41,Marco Sportiello,it  ITA,GK,Atalanta,29,1992,5.0,5,2,0,1,0,5.3,0.22,+0.3,+0.06,18,45,40.0,104,28,23.1,28.7,28,75.0,52.5,24,2,8.3,5,1.00,12.2
42,Thomas Strakosha,al  ALB,GK,Lazio,26,1995,23.0,29,1,1,4,1,27.1,0.30,-0.9,-0.04,108,213,50.7,610,89,30.2,30.9,121,24.0,25.5,182,9,4.9,7,0.30,15.0
43,Wojciech Szczęsny,pl  POL,GK,Juventus,31,1990,33.0,29,3,2,5,0,32.1,0.28,+3.1,+0.09,170,342,49.7,838,149,33.4,34.0,177,35.0,33.3,315,21,6.7,14,0.42,13.0
44,Ciprian Tătărușanu,ro  ROU,GK,Milan,35,1986,6.0,10,2,0,1,1,9.0,0.30,0.0,-0.01,37,79,46.8,168,12,39.3,36.8,38,34.2,37.6,49,2,4.1,4,0.67,13.0
45,Pietro Terracciano,it  ITA,GK,Fiorentina,31,1990,31.8,43,2,0,3,2,35.4,0.35,-5.6,-0.18,279,557,50.1,1353,137,36.1,35.6,170,40.0,35.8,187,18,9.6,28,0.88,15.7
46,Guglielmo Vicario,it  ITA,GK,Empoli,24,1996,38.0,70,5,1,7,6,67.5,0.30,+3.5,+0.09,166,435,38.2,1066,211,29.8,32.2,257,45.5,39.6,405,35,8.6,20,0.53,13.5
47,Jeroen Zoet,nl  NED,GK,Spezia,30,1991,7.0,19,1,0,3,0,17.5,0.39,-1.5,-0.22,29,81,35.8,181,41,32.0,33.9,54,42.6,39.4,52,3,5.8,5,0.71,13.7
48,Petar Zovko,ba  BIH,GK,Spezia,19,2002,0.3,0,0,0,0,0,0.0,,0.0,0.00,1,4,25.0,7,3,42.9,39.9,3,33.3,31.3,2,0,0.0,1,3.10,21.8
