,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
0,2020-09-05,Sat,UEFA Nations League,League A,Away,W 1–0,fr  France,se  Sweden,Y,AM,90,,,,,,,,,,,,,,,0,,,,,,,Match Report
1,2020-09-08,Tue,UEFA Nations League,League A,Home,W 4–2,fr  France,hr  Croatia,Y,AM,76,,,,,,,,,,,,,,,1,,,,,,,Match Report
2,2020-09-27,Sun,La Liga,Matchweek 3,Home,W 4–0,Barcelona,Villarreal,Y,RW,77,22,28,78.6,315,71,15,15,100.0,5,9,55.6,2,2,100.0,0,0.0,0,1,0,0,2,Match Report
3,2020-10-01,Thu,La Liga,Matchweek 4,Away,W 3–0,Barcelona,Celta Vigo,Y,RW,44,19,21,90.5,265,50,10,10,100.0,5,5,100.0,2,3,66.7,0,0.0,0,0,1,0,2,Match Report
4,2020-10-04,Sun,La Liga,Matchweek 5,Home,D 1–1,Barcelona,Sevilla,Y,RW,60,16,16,100.0,197,62,11,11,100.0,3,3,100.0,0,0,,0,0.0,0,2,1,0,2,Match Report
5,2020-10-07,Wed,Friendlies (M),Friendlies (M),Home,W 7–1,fr  France,ua  Ukraine,N,,32,,,,,,,,,,,,,,,0,,,,,,,Match Report
6,2020-10-11,Sun,UEFA Nations League,League A,Home,D 0–0,fr  France,pt  Portugal,Y,FW,90,,,,,,,,,,,,,,,0,,,,,,,Match Report
7,2020-10-14,Wed,UEFA Nations League,League A,Away,W 2–1,fr  France,hr  Croatia,Y,AM,82,,,,,,,,,,,,,,,0,,,,,,,Match Report
8,2020-10-17,Sat,La Liga,Matchweek 6,Away,L 0–1,Barcelona,Getafe,Y,FW,79,26,33,78.8,395,62,16,18,88.9,8,10,80.0,2,2,100.0,0,0.0,0,2,0,0,1,Match Report
9,2020-10-20,Tue,Champions Lg,Group stage,Home,W 5–1,es  Barcelona,hu  Ferencváros,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
10,2020-10-24,Sat,La Liga,Matchweek 7,Home,L 1–3,Barcelona,Real Madrid,N,"FW,CM",10,1,1,100.0,19,7,0,0,,1,1,100.0,0,0,,0,0.0,0,0,0,0,0,Match Report
11,2020-10-28,Wed,Champions Lg,Group stage,Away,W 2–0,es  Barcelona,it  Juventus,Y,FW,88,37,47,78.7,486,49,22,26,84.6,10,12,83.3,1,1,100.0,0,0.4,2,1,0,0,1,Match Report
12,2020-10-31,Sat,La Liga,Matchweek 8,Away,D 1–1,Barcelona,Alavés,Y,FW,90,32,37,86.5,354,68,23,26,88.5,7,9,77.8,1,1,100.0,0,0.0,0,2,2,0,2,Match Report
13,2020-11-04,Wed,Champions Lg,Group stage,Home,W 2–1,es  Barcelona,ua  Dynamo Kyiv,Y,FW,59,12,14,85.7,159,15,8,8,100.0,4,4,100.0,0,0,,0,0.0,0,1,0,0,0,Match Report
14,2020-11-07,Sat,La Liga,Matchweek 9,Home,W 5–2,Barcelona,Betis,Y,FW,77,30,33,90.9,548,124,12,12,100.0,18,20,90.0,0,0,,1,0.2,4,2,2,0,5,Match Report
15,2020-11-11,Wed,Friendlies (M),Friendlies (M),Home,L 0–2,fr  France,fi  Finland,N,,34,,,,,,,,,,,,,,,0,,,,,,,Match Report
16,2020-11-14,Sat,UEFA Nations League,League A,Away,W 1–0,fr  France,pt  Portugal,Y,FW,90,,,,,,,,,,,,,,,0,,,,,,,Match Report
17,2020-11-17,Tue,UEFA Nations League,League A,Home,W 4–2,fr  France,se  Sweden,Y,FW,90,,,,,,,,,,,,,,,0,,,,,,,Match Report
18,2020-11-21,Sat,La Liga,Matchweek 10,Away,L 0–1,Barcelona,Atlético Madrid,Y,FW,82,21,23,91.3,338,19,11,12,91.7,8,9,88.9,1,1,100.0,0,0.0,0,1,0,0,0,Match Report
19,2020-11-24,Tue,Champions Lg,Group stage,Away,W 4–0,es  Barcelona,ua  Dynamo Kyiv,N,CM,26,18,19,94.7,287,53,10,10,100.0,8,8,100.0,0,0,,0,0.0,1,1,0,0,0,Match Report
20,2020-11-29,Sun,La Liga,Matchweek 11,Home,W 4–0,Barcelona,Osasuna,Y,"LW,AM",90,68,74,91.9,1054,177,40,44,90.9,23,25,92.0,5,5,100.0,1,1.1,2,3,0,0,4,Match Report
21,2020-12-02,Wed,Champions Lg,Group stage,Away,W 3–0,es  Barcelona,hu  Ferencváros,Y,AM,64,50,53,94.3,859,99,25,26,96.2,17,17,100.0,6,6,100.0,0,0.5,2,5,0,0,2,Match Report
22,2020-12-05,Sat,La Liga,Matchweek 12,Away,L 1–2,Barcelona,Cádiz,Y,AM,90,42,50,84.0,672,103,23,26,88.5,16,20,80.0,2,2,100.0,0,0.1,2,2,2,0,5,Match Report
23,2020-12-08,Tue,Champions Lg,Group stage,Home,L 0–3,es  Barcelona,it  Juventus,Y,"RW,FW",90,36,40,90.0,524,90,21,22,95.5,13,14,92.9,1,2,50.0,0,0.2,3,1,0,0,1,Match Report
24,2020-12-13,Sun,La Liga,Matchweek 13,Home,W 1–0,Barcelona,Levante,Y,"RW,AM",88,62,72,86.1,1142,213,27,30,90.0,26,30,86.7,8,9,88.9,0,0.2,4,2,5,2,4,Match Report
25,2020-12-16,Wed,La Liga,Matchweek 19,Home,W 2–1,Barcelona,Real Sociedad,Y,RW,65,26,32,81.3,386,94,18,23,78.3,5,6,83.3,2,2,100.0,0,0.0,1,4,1,0,2,Match Report
26,2020-12-19,Sat,La Liga,Matchweek 14,Home,D 2–2,Barcelona,Valencia,Y,"RM,AM",72,38,44,86.4,631,113,22,25,88.0,11,11,100.0,5,6,83.3,0,0.0,1,2,4,0,5,Match Report
27,2020-12-22,Tue,La Liga,Matchweek 15,Away,W 3–0,Barcelona,Valladolid,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
28,2020-12-29,Tue,La Liga,Matchweek 16,Home,D 1–1,Barcelona,Eibar,Y,AM,65,26,30,86.7,406,66,12,12,100.0,12,14,85.7,2,2,100.0,0,0.0,0,2,2,0,5,Match Report
29,2021-01-03,Sun,La Liga,Matchweek 17,Away,W 1–0,Barcelona,Huesca,N,FW,10,1,2,50.0,17,1,0,0,,1,1,100.0,0,1,0.0,0,0.0,0,0,0,0,0,Match Report
30,2021-01-06,Wed,La Liga,Matchweek 2,Away,W 3–2,Barcelona,Athletic Club,Y,LW,90,35,41,85.4,489,57,22,24,91.7,8,10,80.0,3,4,75.0,1,0.8,3,1,0,0,0,Match Report
31,2021-01-09,Sat,La Liga,Matchweek 18,Away,W 4–0,Barcelona,Granada,Y,LW,90,50,54,92.6,880,114,28,30,93.3,14,15,93.3,8,9,88.9,1,0.1,1,3,1,0,3,Match Report
32,2021-01-13,Wed,Supercopa de España,Semi-finals,Away,D 1  (3)  –1  (2),Barcelona,Real Sociedad,Y,FW,120,,,,,,,,,,,,,,,1,,,,,,,Match Report
33,2021-01-17,Sun,Supercopa de España,Final,Home,L 2–3,Barcelona,Athletic Club,Y,FW,120,,,,,,,,,,,,,,,0,,,,,,,Match Report
34,2021-01-21,Thu,Copa del Rey,Round of 32,Away,W 2–0,Barcelona,Cornellà,Y,FW,100,,,,,,,,,,,,,,,0,,,,,,,Match Report
35,2021-01-24,Sun,La Liga,Matchweek 20,Away,W 2–0,Barcelona,Elche,Y,FW,90,29,38,76.3,479,48,15,18,83.3,13,16,81.3,1,2,50.0,0,0.2,1,2,1,0,3,Match Report
36,2021-01-27,Wed,Copa del Rey,Round of 16,Away,W 2–1,Barcelona,Rayo Vallecano,Y,FW,84,,,,,,,,,,,,,,,1,,,,,,,Match Report
37,2021-01-31,Sun,La Liga,Matchweek 21,Home,W 2–1,Barcelona,Athletic Club,Y,LW,83,21,26,80.8,249,24,13,16,81.3,3,3,100.0,2,2,100.0,0,0.0,0,2,0,0,0,Match Report
38,2021-02-03,Wed,Copa del Rey,Quarter-finals,Away,W 5–3,Barcelona,Granada,Y,FW,120,,,,,,,,,,,,,,,2,,,,,,,Match Report
39,2021-02-07,Sun,La Liga,Matchweek 22,Away,W 3–2,Barcelona,Betis,Y,FW,90,42,44,95.5,620,81,26,27,96.3,13,13,100.0,3,4,75.0,0,0.2,1,2,2,0,2,Match Report
40,2021-02-10,Wed,Copa del Rey,Semi-finals,Away,L 0–2,Barcelona,Sevilla,Y,FW,90,,,,,,,,,,,,,,,0,,,,,,,Match Report
41,2021-02-13,Sat,La Liga,Matchweek 23,Home,W 5–1,Barcelona,Alavés,Y,LW,80,43,45,95.6,690,158,22,23,95.7,13,13,100.0,4,4,100.0,2,1.5,5,5,0,0,1,Match Report
42,2021-02-16,Tue,Champions Lg,Round of 16,Home,L 1–4,es  Barcelona,fr  Paris S-G,Y,"LW,FW",84,21,25,84.0,305,58,14,15,93.3,6,7,85.7,1,1,100.0,0,0.0,1,1,1,0,2,Match Report
43,2021-02-21,Sun,La Liga,Matchweek 24,Home,D 1–1,Barcelona,Cádiz,Y,"LW,RW",64,20,26,76.9,254,32,11,16,68.8,7,8,87.5,0,0,,0,0.0,0,0,0,0,0,Match Report
44,2021-02-24,Wed,La Liga,Matchweek 1,Home,W 3–0,Barcelona,Elche,N,FW,15,7,8,87.5,89,30,4,4,100.0,2,2,100.0,0,1,0.0,0,0.1,1,0,0,0,1,Match Report
45,2021-02-27,Sat,La Liga,Matchweek 25,Away,W 2–0,Barcelona,Sevilla,N,"On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play","On matchday squad, but did not play",Match Report
46,2021-03-03,Wed,Copa del Rey,Semi-finals,Home,W 3–0,Barcelona,Sevilla,N,,58,,,,,,,,,,,,,,,1,,,,,,,Match Report
47,2021-03-06,Sat,La Liga,Matchweek 26,Away,W 2–0,Barcelona,Osasuna,Y,"FW,LW",66,30,33,90.9,452,48,18,19,94.7,10,11,90.9,2,2,100.0,0,0.0,0,1,0,0,1,Match Report
48,2021-03-10,Wed,Champions Lg,Round of 16,Away,D 1–1,es  Barcelona,fr  Paris S-G,Y,AM,90,53,65,81.5,896,179,28,32,87.5,17,20,85.0,7,9,77.8,0,0.3,2,3,5,0,7,Match Report
49,2021-03-15,Mon,La Liga,Matchweek 27,Home,W 4–1,Barcelona,Huesca,Y,AM,68,52,55,94.5,677,84,37,39,94.9,10,11,90.9,3,3,100.0,0,0.0,1,4,1,0,2,Match Report
50,2021-03-21,Sun,La Liga,Matchweek 28,Away,W 6–1,Barcelona,Real Sociedad,Y,AM,84,53,59,89.8,743,163,32,36,88.9,14,14,100.0,3,4,75.0,0,0.0,1,4,1,0,2,Match Report
51,2021-03-24,Wed,WCQ — UEFA (M),First round,Home,D 1–1,fr  France,ua  Ukraine,Y,FW,90,,,,,,,,,,,,,,,0,,,,,,,Match Report
52,2021-03-28,Sun,WCQ — UEFA (M),First round,Away,W 2–0,fr  France,kz  Kazakhstan,Y,AM,58,,,,,,,,,,,,,,,0,,,,,,,Match Report
53,2021-03-31,Wed,WCQ — UEFA (M),First round,Away,W 1–0,fr  France,ba  Bosnia and Herzegovina,Y,CM,90,,,,,,,,,,,,,,,0,,,,,,,Match Report
54,2021-04-05,Mon,La Liga,Matchweek 29,Home,W 1–0,Barcelona,Valladolid,Y,"AM,LM",62,47,52,90.4,672,126,30,33,90.9,15,15,100.0,1,2,50.0,0,0.1,2,4,1,0,3,Match Report
55,2021-04-10,Sat,La Liga,Matchweek 30,Away,L 1–2,Barcelona,Real Madrid,N,"FW,CM,WB",45,16,19,84.2,197,52,8,10,80.0,7,8,87.5,0,0,,0,0.3,1,1,1,0,2,Match Report
56,2021-04-17,Sat,Copa del Rey,Final,Neutral,W 4–0,Barcelona,Athletic Club,Y,FW,87,,,,,,,,,,,,,,,0,,,,,,,Match Report
57,2021-04-22,Thu,La Liga,Matchweek 31,Home,W 5–2,Barcelona,Getafe,Y,FW,90,30,33,90.9,387,59,22,23,95.7,8,8,100.0,0,0,,0,0.1,1,0,0,0,0,Match Report
58,2021-04-25,Sun,La Liga,Matchweek 32,Away,W 2–1,Barcelona,Villarreal,Y,FW,79,17,21,81.0,269,64,5,8,62.5,10,10,100.0,1,1,100.0,0,0.2,2,1,3,0,4,Match Report
59,2021-04-29,Thu,La Liga,Matchweek 33,Home,L 1–2,Barcelona,Granada,Y,"FW,LM",90,58,66,87.9,840,136,29,32,90.6,20,24,83.3,3,3,100.0,1,0.2,2,2,1,0,2,Match Report
60,2021-05-02,Sun,La Liga,Matchweek 34,Away,W 3–2,Barcelona,Valencia,Y,FW,90,46,50,92.0,647,74,30,33,90.9,12,12,100.0,2,3,66.7,0,0.0,0,1,2,0,2,Match Report
61,,,,,,38-9-11,,,50/58,,4377,1253,1429,87.7,18889,3123,720,794,90.7,403,448,90.0,84,99,84.8,13,6.8,47,71,40,2,80,
